station_id,lat,lon
MDDELCC-0234011,45.4571991,-70.84230042
MDDELCC-0234015,45.69599915,-70.93399811
MDDELCC-0234020,45.75490189,-70.7161026
MDDELCC-0234025,45.90510178,-70.85739899
MDDELCC-0234030,45.93330002,-70.51609802
MDDELCC-0234032,46.08332825,-71.15000153
MDDELCC-0234035,46.07630157,-70.79519653
MDDELCC-0234036,46.14390182,-70.37660217
MDDELCC-0234040,46.36579895,-70.9539032
MDDELCC-0234060,46.66289902,-71.2736969
MDDELCC-0234070,46.33480072,-70.40699768
MDDELCC-0236510,46.38869858,-71.64880371
MDDELCC-0239010,46.29999924,-72.19999695
MDDELCC-0240020,46.09180069,-71.39769745
MDDELCC-0301010,45.96667099,-71.81667328
MDDELCC-0302010,46.06669998,-72.77899933
MDDELCC-0302021,45.79999924,-72.3833313
MDDELCC-0302031,45.31689835,-71.5585022
MDDELCC-0302035,45.31129837,-71.35079956
MDDELCC-0302041,45.21667099,-71.5
MDDELCC-0302050,45.81259918,-71.0951004
MDDELCC-0302055,45.43333054,-71.68332672
MDDELCC-0302060,45.58332825,-71.09999847
MDDELCC-0302065,45.80950165,-71.26550293
MDDELCC-0302070,45.78290176,-71.39499664
MDDELCC-0302080,45.04999924,-72.06667328
MDDELCC-0302090,45.33332825,-72.05000305
MDDELCC-0302100,45.45000076,-71.53333282
MDDELCC-0302310,45.45003128,-71.14949799
MDDELCC-0303010,45.21667099,-72.59999847
MDDELCC-0303020,45.38336945,-72.68287659
MDDELCC-0303021,45.44430161,-72.62090302
MDDELCC-0303030,45.48332977,-72.26667023
MDDELCC-0303040,45.65000153,-72.51667023
MDDELCC-0304010,45.51667023,-73.41665649
MDDELCC-0304410,45.02077866,-73.50256348
MDDELCC-0309011,45.33332825,-73.69999695
MDDELCC-0401005,46.02999878,-74.09551239
MDDELCC-0401008,45.98332977,-74.3666687
MDDELCC-0401010,46.12210083,-74.45149994
MDDELCC-0401011,46.11719894,-74.47270203
MDDELCC-0401015,46.18333054,-74.26667023
MDDELCC-0401020,46.04999924,-74.28333282
MDDELCC-0402011,46.38940048,-75.01309967
MDDELCC-0402012,46.38333893,-75.06667328
MDDELCC-0406005,46.18333054,-75.69999695
MDDELCC-0406010,46.62749863,-75.11889648
MDDELCC-0406021,46.56671906,-75.56632233
MDDELCC-0406030,47.21670151,-75.17160034
MDDELCC-0406041,45.5638504,-75.41433716
MDDELCC-0406050,47.13338852,-75.09963226
MDDELCC-0406060,47.40005875,-74.71627808
MDDELCC-0406065,47.41667175,-74.91665649
MDDELCC-0406070,47.68333054,-74.68332672
MDDELCC-0406080,46.93333054,-75.1333313
MDDELCC-0408009,46.00550079,-76.45010376
MDDELCC-0408010,46.02072144,-76.05800629
MDDELCC-0408050,46.71672058,-76.04966736
MDDELCC-0408055,47.3167305,-76.46634674
MDDELCC-0408073,46.87459946,-76.38899994
MDDELCC-0408291,46.56666946,-76.65000153
MDDELCC-0413010,46.97460175,-77.26280212
MDDELCC-0413050,46.98339844,-77.13304901
MDDELCC-0414501,46.63333893,-77.30000305
MDDELCC-0414502,46.5746994,-77.33139801
MDDELCC-0419020,46.53068924,-77.93345642
MDDELCC-0419101,47.09999847,-77.66665649
MDDELCC-0426301,46.71673965,-78.16642761
MDDELCC-0426302,46.69469833,-78.05999756
MDDELCC-0426800,47.39356995,-78.62521362
MDDELCC-0430010,46.20190048,-77.71499634
MDDELCC-0430033,47.34548187,-77.91549683
MDDELCC-0430060,47.31666946,-79.43332672
MDDELCC-0430070,46.77349854,-79.04029846
MDDELCC-0430090,45.58240128,-76.4197998
MDDELCC-0430100,48.20859909,-78.91609955
MDDELCC-0463010,45.45000076,-74.23332977
MDDELCC-0501020,46.70159912,-73.8769989
MDDELCC-0501050,47.71670151,-73.02549744
MDDELCC-0501060,47.90005875,-73.83289337
MDDELCC-0501155,46.59189987,-74.16259766
MDDELCC-0503050,47.65879822,-72.3361969
MDDELCC-0503051,47.64509964,-72.28679657
MDDELCC-0504012,46.71670151,-72.0828476
MDDELCC-0504021,46.90169907,-71.89839935
MDDELCC-0504035,46.98450089,-71.84140015
MDDELCC-0504070,47.21670151,-71.69949341
MDDELCC-0504120,47.36000061,-71.58999634
MDDELCC-0508015,46.95510101,-71.48699951
MDDELCC-0508020,46.93336105,-71.46614838
MDDELCC-0508030,46.85969925,-71.64520264
MDDELCC-0508600,47.16389847,-71.25879669
MDDELCC-0508620,47.18199921,-71.23280334
MDDELCC-0509010,46.79999924,-71.3833313
MDDELCC-0510010,47.30490112,-71.17749786
MDDELCC-0510020,47.33337021,-71.13279724
MDDELCC-0510030,47.26810074,-71.19000244
MDDELCC-0510040,47.29560089,-71.17500305
MDDELCC-0510050,47.28919983,-71.1631012
MDDELCC-0510060,47.27389908,-71.16329956
MDDELCC-0510070,47.26330185,-71.17559814
MDDELCC-0510080,47.29460144,-71.16670227
MDDELCC-0510090,47.29130173,-71.16719818
MDDELCC-0510095,47.28919983,-71.16220093
MDDELCC-0510096,47.30942154,-71.16622162
MDDELCC-0510097,47.32250977,-71.15061188
MDDELCC-0512010,47.11669922,-70.83278656
MDDELCC-0512015,47.27339935,-70.67379761
MDDELCC-0512020,47.31666946,-70.90000153
MDDELCC-0512030,47.43470001,-70.87310028
MDDELCC-0513010,47.58229828,-70.40699768
MDDELCC-0515010,47.74060059,-70.72029877
MDDELCC-0517010,47.93333054,-70.05000305
MDDELCC-0522010,46.03332901,-73.41665649
MDDELCC-0543010,47.2901001,-70.57510376
MDDELCC-0550010,47.37279892,-70.59629822
MDDELCC-0601000,48.19390106,-70.04769897
MDDELCC-0603010,48.23332977,-70.3666687
MDDELCC-0606010,47.98669815,-70.7786026
MDDELCC-0608010,48.33332825,-71
MDDELCC-0610010,47.66358948,-71.22527313
MDDELCC-0610020,48.18030167,-71.63400269
MDDELCC-0610025,47.98500061,-71.22489929
MDDELCC-0610030,47.92919922,-71.38559723
MDDELCC-0610035,48.35889816,-71.2806015
MDDELCC-0610040,48.30004883,-71.19946289
MDDELCC-0610050,48.35004044,-71.34945679
MDDELCC-0610910,48.24240112,-71.26239777
MDDELCC-0616005,48.20000076,-72.23332977
MDDELCC-0616020,47.99219894,-72.31880188
MDDELCC-0616025,47.98332977,-72.31667328
MDDELCC-0617010,48.51670837,-72.26615906
MDDELCC-0620010,48.84159851,-72.54689789
MDDELCC-0621006,50.3334198,-72.59941864
MDDELCC-0621010,49.09999847,-72.59999847
MDDELCC-0628005,48.28332901,-69.90000153
MDDELCC-0702010,48.36666107,-69.46666718
